年度,学科／研究科,研究室,学籍番号,賞,氏名,要旨,題目
H25,情報科学科,仲研,,,,,オンライン期末テスト生成システムの試作
H25,情報科学科,石田健研,,,,,無償版電磁界解析シミュレータの調査
H25,情報科学科,下川研,,,,,位置情報を用いたイベント支援アプリケーション開発
H25,情報科学科,稲永研,,,,,芦屋タウンバスにおける利用客数計測アプリケーションの開発
H25,情報科学科,仲研,,,,,Mathematicaを使った数学教育用Webアプリケーションの試作
H25,情報科学科,下川研,,,,,ON/OFF入力のみで操作可能な電子書籍閲覧アプリの開発
H25,情報科学研究科,安武研,,,,◯,組込みソフトウェア開発におけるリアルタイム性を考慮したI/O制御を学習するための教材開発
H25,情報科学研究科,田中研,,,,◯,自律制御可能なLED水中集魚灯のための濁度測定法に関する研究
H26,情報科学科,合志研,,,,,Unityを用いたC#言語による3Dグラフィックスプログラムのプログラミング導入教材の開発
H26,情報科学科,宮崎研,,,,,ベンフォードの法則と身の回りにあるデータとの関連性について
H26,情報科学科,澤田研,,,,,モデル計算機KERNELの更新のためのメモリモジュールの開発
H26,情報科学科,米元研,,,,,実物体とアプリケーションを連動させるテーブルトップ型インタフェースの実現
H26,情報科学科,一ノ瀬研,,,,,劣化雑音音声生成システムの開発
H26,情報科学科,安部研,,,,,スマートタップを用いた家電消費電力削減方式
H26,情報科学科,仲研,,,,,オンライン自習Webページ生成システムの試作
H26,情報科学科,仲研,,,,,オンラインテストへの結果集計機能の追加
H26,情報科学科,仲研,,,,,プレゼンテーション上達支援システムの改良
H26,情報科学科,田中研,,,,,ビーコンを用いた九州産業大学情報提供アプリケーションの機能拡張
H26,情報科学科,安部研,,,,,電気自動車のナビゲーション方式の実用性の向上
H26,情報科学科,成研,,,,,シフト管理支援システムの設計と開発
H26,情報科学科,石田健研,,,,,MathTeXを用いた線形代数教育教材作成
H26,情報科学科,アプドゥハン研,,,,,Deltacloudを用いたハイブリッドクラウド環境の作成
H26,情報科学科,アプドゥハン研,,,,,オントロジとクラスタリングを用いたIaaSサービスの発見と選択の検討
H26,情報科学科,安部研,,,,,基本変形を中心とした線形代数の学習支援ツールの作成
H26,情報科学科,田中研,,,,,ビーコンを用いたスマートフォン向け赤村観光アプリケーションの開発
H26,情報科学科,田中研,,,,,IC学生証とNFCスマートフォンを用いた学生状況共有支援ツールの開発と評価
H26,情報科学科,田中研,,,,,自律型掃除機用センサーの情報集約サーバの構築
H26,情報科学科,成研,,,,,システム開発におけるテストデータの自動生成システムの開発
H26,情報科学科,稲永研,,,,,福岡市千早校区自治連合会Webサイトの構築と運用
H26,情報科学科,稲永研,,,,,九州産業大学情報科学部卒業論文検索システムの開発
H26,情報科学科,稲永研,,,,,Excel VBAを使ったタッチ位置バス停特定自動化ツールの開発
H26,情報科学科,澤田研,,,,,タイマ割り込みを用いた硬貨投入教材のファームウェアの開発
H26,情報科学科,安武研,,,,,可動式光センサを搭載したライントレースロボットの実装
H26,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおける車間距離測定装置の比較
H26,情報科学科,朝廣研,,,,,(n?-1)パズルに対するアルゴリズムの設計と解析
H26,情報科学科,安部研,,,,,除籍・退学・卒業延期者削減のための教務データ分析
H26,情報科学科,安部研,,,,,時間割作成支援システムにおける対話型修正機能の改良
H26,情報科学科,成研,,,,,イベント履歴に基づくレコメンデーション機能を備えた幹事支援システムの開発
H26,情報科学科,田中研,,,,,スマートデバイスを用いた自宅学習可能なコンピュータ教材の開発
H26,情報科学科,一ノ瀬研,,,,,音読内容と音読速度が遅延聴覚フィードバック条件下の発話に与える影響
H26,情報科学科,下川研,,,,,講義室内ネットワークスイッチを利用したアクセス制御システムの開発
H26,情報科学科,宮崎研,,,,,Jリーグのデータにおける項目の関係性と傾向に関する研究
H26,情報科学科,仲研,,,,,Mathematicaを使った空間図形教育支援アプリケーションの開発
H26,情報科学科,仲研,,,,,九産大卒業論文検索システムの試作
H26,情報科学科,田中研,,,,,多言語に対応したスマートフォン向け九州産業大学情報提供アプリケーションの開発
H26,情報科学科,一ノ瀬研,,,,,Kinectを用いたリハビリテーション支援の研究
H26,情報科学科,古井研,,,,,Enisys3D電子資料配布システムのユーザインタフェースの改善
H26,情報科学科,米元研,,,,,車両エージェントの衝突回避行動の推定に関する研究
H26,情報科学科,下川研,,,,,タブレットを使用した在宅用歩行訓練ロボットの機能拡張
H26,情報科学科,田中研,,,,,自律型水中集魚灯と連動可能な海中照度分布シミュレータの開発
H26,情報科学科,安部研,,,,,鉄道における情報技術の適用に関する調査と学習支援ツールの作成
H26,情報科学科,安部研,,,,,回生電力を活用した列車ダイヤ作成方式
H26,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるMobileyeに対応した車載システムの開発
H26,情報科学科,成研,,,,,学生生活をサポートするクラウドソーシングサービスの設計と開発
H26,情報科学科,宮崎研,,,,,電子透かし埋め込み法の単色カラー画像における実用性に関する研究
H26,情報科学科,仲研,,,,,スマートフォン向け就活ハンドブックアプリの試作
H26,情報科学科,安武研,,,,,ETロボコンにおけるNXTrikeのフィギュアL攻略
H26,情報科学科,朝廣研,,,,,出席者の入力から座席表の作成をするWebシステムの開発
H26,情報科学科,朝廣研,,,,,情報科学研究科の修士論文ページを自動生成するためのアップロードシステムの開発
H26,情報科学科,下川研,,,,,思考ルーチン開発を通したプログラミング学習支援システムの開発
H26,情報科学科,朝廣研,,,,,グラフ理論を題材としてMathematicaの利用法を学ぶための教材作成
H26,情報科学科,石田健研,,,,,KSUエリア放送用データ放送コンテンツの作成
H26,情報科学科,朝廣研,,,,,Arduinoを用いた有限オートマトンの実現
H26,情報科学科,安武研,,,,,Erlangを使ったキャッシュ搭載WEBサーバの性能と記述コード量の検証
H26,情報科学科,稲永研,,,,,九州産業大学情報科学部科目「計算機アーキテクチャ」進数変換練習用Androidアプリケーションの開発
H26,情報科学科,安武研,,,,,三輪走行体NXTrikeによるライントレースの実装
H26,情報科学科,一ノ瀬研,,,,,ExcelVBAを用いたリハビリテーション科のシフト勤務表作成
H26,情報科学科,一ノ瀬研,,,,,頭部運動を反映した動的バイノーラル信号再生システムの構築
H26,情報科学科,古井研,,,,,背表紙画像とバーコードを用いた研究室蔵書管理方式
H26,情報科学科,安部研,,,,,スマートハウスにおける消費電力削減のための機器の最適運転計画方式
H26,情報科学科,仲研,,,,,webMathematicaを使った健康管理アプリケーションの改良
H26,情報科学科,仲研,,,,,Mathematicaによる進化シミュレーションGenePoolの実装
H26,情報科学科,澤田研,,,,,ETロボコンにおける直角駐車縦列駐車の攻略
H26,情報科学科,成研,,,,,情報共有を効率化するための学生団体運営支援システム
H26,情報科学科,稲永研,,,,,九州産業大学情報科学部科目「計算機アーキテクチャ」文字・ASCIIコード相互変換練習用Androidアプリケーションの開発
H26,情報科学科,田中研,,,,,官学連携事業ふくおかIT Workoutsにおける田川郡赤村の温泉利用者調査の実施とその分析
H26,情報科学科,古井研,,,,,Webアンケートの比較評価
H26,情報科学科,安武研,,,,,Android端末におけるモデル計算機KERNELの通信機構とシミュレータ開発
H26,情報科学科,石田健研,,,,,区間演算を用いた非線形方程式の解の数値計算
H26,情報科学科,田中研,,,,,学生証を用いた出席調査アプリケーションの設計
H26,情報科学科,仲研,,,,,Pｒocessing言語によるゴルフWebアプリを使ったプログラミング学習コースの試作
H26,情報科学科,下川研,,,,,複数クラウドを利用したサーバ広域分散配置システムへのソフトウェア構成管理機能の追加
H26,情報科学科,仲研,,,,,Raspberry PiのMathematicaによる高校数学実験室の開発
H26,情報科学科,澤田研,,,,,モデル計算機KERNELの更新のためのK16CPUの開発
H26,情報科学科,澤田研,,,,,硬貨返却教材のモード切替機能の実現
H26,情報科学科,澤田研,,,,,モデル計算機KERNELの更新のための通信モジュールの開発
H26,情報科学科,米元研,,,,,エッジ検出を用いた３次元モデリングツールの開発
H26,情報科学科,米元研,,,,,撮影した画像にタグ付けが可能な家計簿アプリの開発
H26,情報科学科,成研,,,,,複合型プログラミング教材における達成状況確認機能の開発
H26,情報科学科,宮崎研,,,,,群上の2状態3近傍の決定性セルオートマトンの遷移関係の連続性について
H26,情報科学科,米元研,,,,,プレイバックが可能な野球スコアブックアプリの開発
H26,情報科学科,稲永研,,,,,4択アンケート調査アプリの開発および芦屋タウンバスでのアンケート調査
H26,情報科学科,宮崎研,,,,,クラウドコンピューティングの情報セキュリティに関する研究
H26,情報科学科,安武研,,,,,Android端末におけるモデル計算機KERNELのインタフェースの実現
H26,情報科学科,宮崎研,,,,,スマートフォンのセキュリティの危機感とその対応
H26,情報科学科,下川研,,,,,ルータ設定実習システムの開発
H26,情報科学科,安武研,,,,,コースの仕様変更を考慮したロボットシステムの設計と実装
H26,情報科学科,田中研,,,,,キャンパス館内マップアプリ開発のためのビーコン設置方法の検討
H26,情報科学科,稲永研,,,,,自治体向けコミュニティバス位置情報管理システムの開発
H26,情報科学科,成研,,,,,出張料理サービス支援システムの提案と試作
H26,情報科学科,下川研,,,,,サーバ選択機構TENBINの改良
H26,情報科学科,宮崎研,,,,,SNSに関する情報セキュリティ対策の現状と傾向に関する研究
H26,情報科学科,下川研,,,,,脊髄性筋萎縮症患者のための視界改良システムの開発
H26,情報科学研究科,田中研,,,,◯,スマートフォンによる組込み機器の無線通信制御に関する研究
H27,情報科学科,古井研,,,,,予習・復習をやる気にさせるミニゲーム
H27,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおける高速道路での車間距離測定装置の比較
H27,情報科学科,合志研,,,,,LPC810を用いた組み込みプログラミング体験のための教材開発
H27,情報科学科,朝廣研,,,,,ランダムプレイヤーを用いた4以上のKに対するK並べの評価
H27,情報科学科,安武研,,,,,バーコード情報に連動しパターン走行をする三輪走行体システムの設計と実装
H27,情報科学科,石田健研,,,,,KSUエリア放送用データ放送コンテンツの製作
H27,情報科学科,米元研,,,,,色情報を用いたピクチャパスワードの実現
H27,情報科学科,石田健研,,,,,粒子群最適化による最適解探索について
H27,情報科学科,成研,,,,,題材追加可能なテストデータ自動生成システムの開発
H27,情報科学科,合志研,,,,,Processingを用いたAndroidアプリ作成のための教材開発
H27,情報科学科,成研,,,,,研究室配属希望調査における情報共有支援システムの開発
H27,情報科学科,下川研,,,,,CMSによる情報科学部ホームページの改善
H27,情報科学科,古井研,,,,,Windows XPから軽量Linuxへの移行を想定したMicrosoft Office 2010の代替環境の検討
H27,情報科学科,一ノ瀬研,,,,,Wiiリモコンのジャイロセンサによる回転角度の検出に関する検討
H27,情報科学科,米元研,,,,,複数ＡＲコンテンツの切り替え表示システムの実現
H27,情報科学科,米元研,,,,,ドット絵作成支援ツールの開発
H27,情報科学科,一ノ瀬研,,,,,Kinectを用いた人体の姿勢検出の検討
H27,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるソフトウェア開発のための教材開発
H27,情報科学科,古井研,,,,,タブレット端末・スマートフォンを利用した小規模飲食店向けPOSレジ・OES
H27,情報科学科,成研,,,,,学内サービスと連携したクラウドソーシングシステムの開発
H27,情報科学科,米元研,,,,,画像中の物体の色変化に基づく仮想画像の生成
H27,情報科学科,稲永研,,,,,九州産業大学情報科学部卒業論文検索システムの改良
H27,情報科学科,朝廣研,,,,,パワーポイントによるプロジェクションマッピングの展示キットと手引き書の作成
H27,情報科学科,下川研,,,,,容易に利用可能なWebアプリケーション実行環境自動構築システムの開発
H27,情報科学科,合志研,,,,,車載ユニットのCAN通信に関する模擬データ生成装置の開発
H27,情報科学科,米元研,,,,,Google Mapsを用いた学内スタンプラリーの実現
H27,情報科学科,安部研,,,,,線形代数の基本的解法に対する学習支援ツールの作成
H27,情報科学科,安部研,,,,,線形代数の応用に関する学習支援ツールの作成
H27,情報科学科,安部研,,,,,時間割作成支援システムの新カリキュラムへの適用による実用性の検討
H27,情報科学科,仲研,,,,,DNAコンピュータ疑似体験プログラムの改良
H27,情報科学科,古井研,,,,,Windows XPから軽量Linuxへの移行を想定したWineとMicrosoft Office 2010の互換性の検証
H27,情報科学科,下川研,,,,,アクセスポイントのログを利用したWi-Fi利用者の位置及び施設利用者数推定システムの開発
H27,情報科学科,澤田研,,,,,モータ制御演習課題のためのI2C液晶モニタの実装
H27,情報科学科,仲研,,,,,webMathematicaを使った健康支援アプリケーションの改良
H27,情報科学科,米元研,,,,,アルファブレンディングによる半透明合成映像の提示に関する研究
H27,情報科学科,成研,,,,,イベント履歴に基づくレコメンデーション機能の開発
H27,情報科学科,一ノ瀬研,,,,,Web Audio APIによる音の処理を体験できるWebサイトの構築
H27,情報科学科,稲永研,,,,,人感センサーを利用した乗降客数計測Androidアプリケーションの開発
H27,情報科学科,合志研,,,,,UNITYを用いた交差点における安全運転教育用ドライビングシミュレータの開発
H27,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いたフォトコラージュの自動生成
H27,情報科学科,稲永研,,,,,KERNELⅠK16アセンブリ言語・機械語相互変換Webアプリケーションの開発
H27,情報科学科,下川研,,,,,研究室での利用に適した日報システムの開発
H27,情報科学科,澤田研,,,,,モデル計算機KERNELの更新のための実機検証環境の構築
H27,情報科学科,田中研,,,,,医療用患者監視システムの実現に向けた深度情報取得機能および新型モーションセンサの性能比較
H27,情報科学科,稲永研,,,,,利用客向けコミュニティバス情報提供Webシステムの開発
H27,情報科学科,成研,,,,,営業状況を考慮したシフト管理システムの設計と開発
H27,情報科学科,仲研,,,,,プレゼンテーション上達支援システムの試作
H27,情報科学科,稲永研,,,,,タブレットタップ操作位置バス停特定のためのWebアプリケーション機能の開発
H27,情報科学科,一ノ瀬研,,,,,パラメトリックスピーカの各種特性
H27,情報科学科,米元研,,,,,位置情報とARカメラを用いた学内案内アプリの開発
H27,情報科学科,下川研,,,,,研究室内での利用を想定した機材管理システムの開発
H27,情報科学科,澤田研,,,,,モデル計算機KERNELの更新のためのK16CPUとメモリモジュールの統合
H27,情報科学科,成研,,,,,食メディアを活用した注文料理サービスの提案と実装
H27,情報科学科,石田健研,,,,,MathTeXを用いた線形代数I教育教材作成
H27,情報科学科,安部研,,,,,コージェネレーションを考慮した家庭における機器の最適運転計画方式
H27,情報科学科,安部研,,,,,蓄電池を考慮した回生電力の活用と列車ダイヤ作成方式の検討
H27,情報科学科,安武研,,,,,Trike型走行体によるETロボコンの難所フィギュアLと環状線エリアの攻略
H27,情報科学科,一ノ瀬研,,,,,講義コメントシステムの構築
H27,情報科学科,下川研,,,,,BLEを用いた位置情報共有システムの開発
H27,情報科学科,安武研,,,,,Android OS上で動作するモデル計算機KERNELエミュレータの開発
H27,情報科学科,澤田研,,,,,2軸回転取得のためのモータ制御演習教材の改造
H27,情報科学科,一ノ瀬研,,,,,オンラインテストシステムの機能拡張
H27,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いたアクションゲームの自動解法
H27,情報科学科,安武研,,,,,Android端末における複数の画面サイズに対応したKERNELボードのコンソールを実現するGUI開発
H27,情報科学科,安部研,,,,,成績不良者の履修登録を支援するための合否予測システム
H27,情報科学科,仲研,,,,,Mathematicaによる進化シミュレーションGenePoolの実装
H27,情報科学科,石田健研,,,,,CUDAを用いた数値計算の検討---行列の積の計算---
H27,情報科学科,アプドゥハン研,,,,,プライベートクラウド上でのビッグデータ処理の考察
H27,情報科学科,石田健研,,,,,CIP法を用いた電磁波伝搬シミュレータの作成---gfortranとDISLINを用いた実装---
H27,情報科学科,一ノ瀬研,,,,,頭部運動を反映した動的バイノーラル信号再生システムの改良
H27,情報科学科,米元研,,,,,特定色領域の抽出にもとづくビジネスマンの判定
H27,情報科学科,稲永研,,,,,KERNELⅡK32アセンブラJavaアプリケーション版の開発
H27,情報科学科,成研,,,,,スケジュール共有を前提とした空き時間検索システムの開発
H27,情報科学科,仲研,,,,,学生向け大学周辺居酒屋マップアプリの試作
H27,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるLCDを用いた表示装置の開発
H27,情報科学科,田中研,,,,,赤村観光アプリケーションへの音声機能の追加と実用化に向けた実地調査
H27,情報科学科,成研,,,,,地域と家族の絆を深めるための家庭向けSNSの設計と開発
H27,情報科学科,合志研,,,,,Unityを用いた衝突体験型ドライビングシミュレータの開発
H27,情報科学科,下川研,,,,,講義における演習の進捗状況把握支援システムの開発
H27,情報科学科,アプドゥハン研,,,,,教育向けプライベートクウド環境の構築と性能評価
H27,情報科学科,朝廣研,,,,,量子どうぶつしょうぎ対局プログラムのJava言語による製作
H27,情報科学科,仲研,,,,,九産大学友会アプリの試作
H27,情報科学科,古井研,,,,,行事日程を見逃さなくする就活スケジュール提供システム
H27,情報科学科,アプドゥハン研,,,,,IaaSクラウドサービスの検出を改善するためのオントロジクラスタリング手法
H27,情報科学科,アプドゥハン研,,,,,クラウドコンピューティング教育向けの教材の作成
H27,情報科学科,石田健研,,,,,区間演算を用いた高信頼最適化法の検討
H27,情報科学科,安部研,,,,,リアルタイムな出席情報に基づく修学指導のための教務データ分析
H27,情報科学科,稲永研,,,,,KERNELⅡK32シミュレータJavaアプリケーション版の開発
H27,情報科学科,朝廣研,,,,,自己組織化マップを用いた単位修得科目による学生の分類
H27,情報科学科,米元研,,,,,顔の検出と変形による類似顔生成アプリの開発
H27,情報科学科,田中研,,,,,スマートフォンを用いた屋内位置情報を把握可能なアプリケーションの設計と実装
H27,情報科学科,田中研,,,,,Bluetooth Low Energy モジュールの通信距離とスループットの性能評価
H27,情報科学科,田中研,,,,,スマートフォンを用いた赤村子育て支援アプリケーションの試作
H27,情報科学科,安武研,,,,,Trike型走行体によるライントレースとニ本橋エリアの攻略
H27,情報科学科,石田健研,,,,,FDTD法を用いた電磁波伝搬シミュレータの作成---gfortranとDISLINを用いた実装---
H27,情報科学科,安武研,,,,,Android端末における新規KERNELシステムのFPGAボードとの通信機構
H27,情報科学科,稲永研,,,,,広告表示機能付きアンケート調査アプリASHIYA ver.3の開発
H27,情報科学科,古井研,,,,,学生がPCで挙手できる演習支援システム
H27,情報科学科,安武研,,,,,ETロボコン2015アドバンストクラスへ向けたシステム設計とモデリングシートの作成
H27,情報科学科,朝廣研,,,,,計算モデル論の状態遷移図に関する動画教材の作成
H27,情報科学科,合志研,,,,,Unityを用いたドライビングシミュレータ開発のための教材開発
H27,情報科学科,仲研,,,,,Mathematicaを使った二次関数の教育支援Webアプリケーションの試作
H27,情報科学科,下川研,,,,,在宅用歩行訓練ロボットにおける歩行訓練データ閲覧システムの開発
H27,情報科学科,田中研,,,,,家庭型パーソナルロボットを用いた起立運動アプリケーションの試作
H27,情報科学科,稲永研,,,,,KERNELⅠK16アセンブラAndroidアプリケーションの開発
H27,情報科学科,成研,,,,,公開スケジュール設定可能なWordPressプラグインKSU Expiratorの開発
H27,情報科学科,稲永研,,,,,九州産業大学備品管理Webシステムの開発
H27,情報科学科,朝廣研,,,,,GIMP を用いたグラフ理論に関する解説のための動画作成
H27,情報科学科,朝廣研,,,,,Sigilによるグラフ理論に関する電子教材の作成方法についての検討
H27,情報科学科,朝廣研,,,,,MediaBookPublisherによる計算モデル論に関する電子書籍の作成方法についての検討
H27,情報科学科,古井研,,,,,JKナビ: 卒業生からの情報を蓄積する就職活動支援システム
H27,情報科学科,田中研,,,,,選択難易度の異なるリッカート尺度アンケートの開発とその評価
H27,情報科学科,成研,,,,,Node.js Expressによる研究室分け希望調査システムの開発
H27,情報科学科,稲永研,,,,,コミュニティバス時刻表・バス停位置データのGTFSフォーマットへの変換ルールの策定とその実装
H27,情報科学科,朝廣研,,,,,2012年度貸与PCを用いた素因数分解プログラムの実験と評価
H27,情報科学科,成研,,,,,助言登録可能な就職活動支援システムの開発
H28,情報科学科,石田健研,,,,,CIP法を用いた電磁波伝搬シミュレータの改良―実サイズに基づく電磁波環境の構築―
H28,情報科学科,石田健研,,,,,MathTeXを用いた線形代数教育教材の作成―行列の計算問題の追加―
H28,情報科学科,安部研,,,,,K’sLifeの出席情報を用いたリアルタイムな成績予測による修学支援
H28,情報科学科,安部研,,,,,電力自由化を考慮した家庭における機器の最適運転計画方式
H28,情報科学科,安武研,,,,,計算機アーキテクチャを学習するための Androidアプリケーションにおけるテスト自動化
H28,情報科学科,合志研,,,,,安全運転教育管理システムASSISTにおけるMobileyeとOBDⅡに対応した運転行動データの表示ソフトウェアの開発
H28,情報科学科,アプドゥハン研,,,,,IaaSクラウドサービスオントロジ クラスタリング手法に関する研究
H28,情報科学科,合志研,,,,,ドライビングシミュレータ開発のためのモデリングとプログラミングの教材開発
H28,情報科学科,仲研,,,,,将棋対戦プログラム開発支援ツールの調査
H28,情報科学科,田中研,,,,,無線LAN環境におけるiBeaconの通信性能測定
H28,情報科学科,合志研,,,,,自動車のアクセルとブレーキの操作頻度と踏み間違いの関係についての研究
H28,情報科学科,安武研,,,,,教育用計算機KERNELにおけるレジスタ用入出力 デバイスの試作
H28,情報科学科,合志研,,,,,安全運転管理教育システムASSISTのためのデバッグ用シリアルデータ記録装置の開発
H28,情報科学科,一ノ瀬研,,,,,Excel VBAを用いたシフト勤務表作成ソフトウェアの改良
H28,情報科学科,稲永研,,,,,赤外線センサーを用いた2ドアバス車両向け乗降客数自動計測Androidアプリケーションの改良
H28,情報科学科,稲永研,,,,,データベースACEを用いた利用客向けコミュニティバス情報提供Webシステムの開発
H28,情報科学科,アプドゥハン研,,,,,OpenStackプライベートクラウド のシステムレベルベンチマークに 関する研究
H28,情報科学科,田中研,,,,,感情認識人型ロボットを用いたスマートハウス向け自動掃除システムの開発
H28,情報科学科,仲研,,,,,高校数学の積分法教育支援ウェブアプリケーションの試作
H28,情報科学科,安部研,,,,,自動車の自動運転における情報技術の調査と学習支援ツールの作成
H28,情報科学科,アプドゥハン研,,,,,OpenStackプライベートクラウド上でのビッグデータ処理高速化に関する研究
H28,情報科学科,合志研,,,,,Unityを用いた車間距離維持教育用ドライビングシミュレータの開発
H28,情報科学科,アプドゥハン研,,,,,IaaSクラウドサービス検索のためのオントロジクラスタリング手法案の分析に関する研究
H28,情報科学科,田中研,,,,,九州産業大学の大学祭公式ホームページの作成を支援するシステムの開発
H28,情報科学科,一ノ瀬研,,,,,損失を考慮した有限要素法による声道の伝達関数を用いた母音の合成
H28,情報科学科,田中研,,,,,赤村観光アプリケーションへのウォークラリー機能の追加と位置情報認識方法の比較
H28,情報科学科,成研,,,,,営業状況とスタッフレベルを考慮したシフト管理システムの設計と開発
H28,情報科学科,仲研,,,,,Twitterを利用したデータ収集に関する調査
H28,情報科学科,稲永研,,,,,バス運転手向け乗降客数計測AndroidアプリケーションSHINGU ver.1の開発
H28,情報科学科,成研,,,,,災害対策に役立つ家庭向けSNSの設計と開発
H28,情報科学科,稲永研,,,,,乗降客数調査アプリSHINGUの設計と調査データ確認Webページの試作
H28,情報科学科,古井研,,,,,日程情報記述を支援するPukiWikiプラグイン
H28,情報科学科,古井研,,,,,Wikiに記載された日程情報のWebページへの組み 込み
H28,情報科学科,米元研,,,,,Unity3Dを用いた3D絵本の作成
H28,情報科学科,一ノ瀬研,,,,,慣性センサIMU-Zを用いた歩行動作測定プログラムの開発
H28,情報科学科,安武研,,,,,ET相撲NEOの攻略
H28,情報科学科,一ノ瀬研,,,,,Kinectを用いた歩行動作測定プログラムの開発
H28,情報科学科,下川研,,,,,Webアプリケーション開発・運用環境構築支援システムの開発
H28,情報科学科,成研,,,,,時間帯や重要人物の都合を考慮した空き時間検索システムの開発
H28,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるesp8266を使用した通信機能の試作
H28,情報科学科,成研,,,,,データベース言語SQL学習支援システムの開発
H28,情報科学科,下川研,,,,,KIND Wi-Fiにおける通信状況の調査
H28,情報科学科,成研,,,,,フィジカルワークに対応可能な学内クラウドソーシングシステムの開発
H28,情報科学科,澤田研,,,,,2軸制御のためのモータ演習教材の改造
H28,情報科学科,下川研,,,,,講義コメントスクリーン表示システムの開発
H28,情報科学科,合志研,,,,,CarWaypointBasedプレハブを拡張した他車を用いた先急ぎ運転防止教育用ドライビングシミュレータの開発
H28,情報科学科,古井研,,,,,図面のラスタ・ベクタ変換における直線の補正
H28,情報科学科,安武研,,,,,ETロボコンにおける懸賞の攻略
H28,情報科学科,合志研,,,,,Unityを用いた直線道路上での先急ぎ運転防止教育用ドライビングシミュレータの開発
H28,情報科学科,成研,,,,,顧客の嗜好をもとにしたアルコールドリンク提案システムの開発
H28,情報科学科,合志研,,,,,Unityを用いた衝突体験による一時停止教育用ドライビングシミュレータの開発
H28,情報科学科,石田健研,,,,,CUDAを用いた数値計算の検討―行列計算―
H28,情報科学科,安武研,,,,,二輪走行体における自己位置測定ライブラリの作成
H28,情報科学科,石田健研,,,,,導入ゼミナールクラス分け支援ツールの作成
H28,情報科学科,澤田研,,,,,FPGA初学者向けのカウンタ制御課題の検討
H28,情報科学科,米元研,,,,,テクスチャペインティングソフトの開発
H28,情報科学科,米元研,,,,,横スクロール型アクションゲームのマップ自動生成に関する研究
H28,情報科学科,米元研,,,,,Android用地図アプリの開発
H28,情報科学科,米元研,,,,,対象物体のリアルタイム消去による隠消現実感の実現
H28,情報科学科,一ノ瀬研,,,,,慣性センサTSND121を用いた人体の姿勢測定プログラムの開発
H28,情報科学科,安武研,,,,,2輪走行体におけるライントレースの強化学習
H28,情報科学科,朝廣研,,,,,2台のハードウェアを用いた 多項式問題に対するアルゴリズムの 実装と実験
H28,情報科学科,成研,,,,,タイマーを共有する学会発表支援システム
H28,情報科学科,米元研,,,,,MESHを用いた出席記録システム
H28,情報科学科,安部研,,,,,教務情報のデータベース化による修学支援への応用
H28,情報科学科,稲永研,,,,,KERNELⅠK16アセンブラAndroidアプリケーションの実用化
H28,情報科学科,古井研,,,,,週間スケジュール調整支援システム
H28,情報科学科,仲研,,,,,中学数学の空間図形教育支援ウェブアプリケーションの作成
H28,情報科学科,仲研,,,,,GenePool再現プログラムへの交配機能の追加
H28,情報科学科,下川研,,,,,インタークラウドオートスケールを用いたストリーミング配信手法の提案とプロトタイプシステムの実装
H28,情報科学科,仲研,,,,,人工知能を使った将棋対戦プログラムLesserkaiの改良の試み
H28,情報科学科,仲研,,,,,細胞内シグナル伝達系の反応次数が双安定性に及ぼす影響の解析
H28,情報科学科,安武研,,,,,BLEを利用したKERNELアプリケーションにおける通信性能の評価
H28,情報科学科,成研,,,,,食材の地域性を活用した注文料理サービスの設計と開発
H28,情報科学科,稲永研,,,,,KERNELⅡK32Javaアプリケーション版シミュレータの改良とアセンブラとの統合
H28,情報科学科,米元研,,,,,レイアウトを自由に指定可能なフォトコラージュ生成ツールの開発
H28,情報科学科,成研,,,,,研究室配属における学生の研究室に対する理解を深める情報共有システム
H28,情報科学科,朝廣研,,,,,べき乗に関連するアルゴリズムの 実装と実験
H28,情報科学科,田中研,,,,,スマートロック制御機能を備えた学部用スマートフォンアプリの設計
H28,情報科学科,稲永研,,,,,アンケート調査AndroidアプリケーションASHIYA ver.4のデータベース実装
H28,情報科学科,朝廣研,,,,,5つの貸与ＰＣを用いたアルゴリズムの実装と実験 ～自然数の和の繰り返し問題など～
H28,情報科学科,下川研,,,,,アクセスポイント接続ログを元にしたKIND Wi-Fiのアクセスポイントへの接続数の調査
H28,情報科学科,朝廣研,,,,,Accessによるオートマトン検索のためのデータベースの作成
H28,情報科学科,米元研,,,,,Three.jsを用いたWebVRの制作
H28,情報科学科,成研,,,,,活動履歴を用いた助言登録可能な就職活動支援システムの開発
H28,情報科学科,田中研,,,,,ビーコンを使用したスマートフォン向け出席記録アプリケーションの開発
H28,情報科学科,石田健研,,,,,Processingによるプログラミング教育導入向け演習教材の作成
H28,情報科学科,稲永研,,,,,公共交通機関データGTFSフィードの作成およびshape計測Androidアプリケーションの開発
H28,情報科学科,下川研,,,,,講義における演習状況把握システムの開発
H28,情報科学科,稲永研,,,,,公共交通機関データGTFSフィードの作成および作成補助ExcelVBAツールの開発
